,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
230,9767,0.021063539665209012,1060.0,1,67,44,15,0.01539763395562376,30,0,432000,81567225,1,1,0
231,678,0.1357670933215141,164.22,1,26,2,0,0.10368451742511677,11,0,432000,94269453,1,1,0
232,1468,0.04827020382016201,1186.32,1,28,15,0,0.06200356602867139,80,0,432000,23679288,1,0,1
233,431,0.07214746615939154,350.0,1,34,23,3,0.10053406573106269,29,0,432000,102299564,1,1,0
234,567,0.09833167643925293,1050.0,1,40,9,0,0.10368451742511677,30,0,432000,1835713,1,0,1
235,244,0.1683912543676158,1680.0,1,31,26,1,0.10368451742511677,68,0,432000,22390582,1,0,1
236,14476,0.035812014000468864,407.28,1,53,1,1069,0.10368451742511677,12,0,432000,126396258,1,0,1
237,7330,0.027283285810818052,480.16,1,49,20,20,0.10368451742511677,59,0,432000,97270045,1,0,1
238,5776,0.039864222186978535,725.0,1,27,14,0,0.10368451742511677,35,0,432000,2595210,1,0,1
239,321,0.09600631375703109,43.89,1,33,5,8,0.10368451742511677,9,0,432000,18452791,1,0,1
240,5971,0.022431194273398156,9561.8,1,21,193,0,0.04402924186091594,94,0,432000,2,1,1,0
241,1262,0.04550087059551672,2754.47,1,45,48,72,0.08926986314688543,122,0,432000,70548141,1,0,1
242,2910,0.1366565328595441,275.0,1,72,6,0,0.10368451742511677,8,0,432000,2,0,0,1
243,1852,0.09240475070677252,824.61,1,17,28,0,0.10368451742511677,38,0,432000,13987858,1,0,1
244,21260,0.01117690571043993,521.76,0,70,3,7,0.058063503652028114,151,0,428400,16450548,0,0,1
245,1976,0.04015954609853149,276.53,1,27,8,11,0.10053406573106269,13,0,432000,55058264,1,0,1
246,13566,0.017579750899486293,60.0,1,41,5,5,0.10053406573106269,19,0,432000,24397082,1,0,1
247,2570,0.01446780875456675,322.47,0,66,5,14,0.0704390161118192,18,0,432000,41425220,1,0,1
248,1458,0.33715342931831177,20188.09,1,70,24,0,0.5170657404578937,40,1,432000,2,1,0,1
249,1261,0.024817720299170898,2108.53,1,45,29,0,0.06666921009228308,45,0,432000,1,1,1,0
250,2893,0.08182332961075352,3107.39,1,25,12,0,0.3187941492636668,8,1,432000,1,1,0,1
251,15923,0.013916981120054798,7500.0,1,65,24,1,0.07801895451328421,178,0,432000,2,1,0,1
252,2673,0.0146143609784925,31.35,1,41,5,5,0.10368451742511677,27,0,432000,101782950,1,0,1
253,6021,0.00981631847989342,859.8,1,33,19,603,0.029904848000663335,25,0,432000,51275168,1,0,1
254,2074,0.11685812336828814,559.39,1,27,31,2,0.10053406573106269,37,0,432000,18579667,1,1,0
255,2188,0.04091931960611036,284.01,1,48,7,1,0.0473250076645478,18,0,432000,14756144,1,0,1
256,18939,0.02660633358151541,2831.41,1,46,10,331,0.06919878621816779,270,0,432000,68868260,1,0,1
257,33,0.12817596232927234,10826.0,0,18,251,22,0.06121785924265437,2,0,432000,27237029,0,0,1
258,7591,0.03381639667837135,1049.25,1,110,86,5,0.01166832240427429,41,0,432000,40028673,1,0,1
259,0,0.1683912543676158,570.0,1,29,4,0,0.10368451742511677,40,1,432000,1729092,0,1,0
