,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
3728,premium,3618,382.14,1,64,1,0,99,0,432000,False,1,0,1
3729,premium,135,22.09,1,29,1,4,38,0,432000,False,1,0,1
3730,spammer_limited,818,1397.9,1,30,45,3,62,0,432000,False,1,0,1
3731,premium,7565,460.0,1,109,23,1,35,0,432000,False,1,1,0
3732,premium,9262,254.0,1,23,4,0,34,0,432000,False,1,0,1
3733,premium,2379,2775.0,0,53,57,3,25,0,432000,False,1,1,0
3734,premium,1409,2630.25,1,20,17,0,30,0,432000,False,1,0,1
3735,premium,16920,96.0,1,67,7,14,6,0,432000,False,1,1,0
3736,premium,2838,1765.0,1,45,37,0,72,0,432000,False,1,0,1
3737,premium,524,65.48,1,51,4,10,64,0,432000,False,1,0,1
3738,premium,2099,242.99,1,26,7,3,14,0,432000,False,1,1,0
3739,premium,1308,620.0,1,47,37,70,94,0,432000,False,1,1,0
3740,premium,4916,2467.98,1,57,116,1,21,0,432000,False,1,0,1
3741,premium,106,22.09,1,28,1,0,24,0,432000,False,1,0,1
3742,premium,9301,725.0,1,20,27,8,27,0,435600,False,1,0,1
3743,premium,8472,831.06,1,15,39,3,42,0,432000,False,0,0,1
3744,premium,3075,4099.36,1,28,6,1,277,0,432000,False,1,0,1
3745,premium,1027,1362.42,1,33,31,4,31,0,432000,False,1,0,1
3746,premium,1490,527.28,1,23,22,9,163,0,432000,False,0,1,0
3747,premium,2572,481.32,1,32,5,38,35,0,432000,False,0,0,1
3748,premium,122,117.68,1,14,5,1,31,0,432000,False,1,0,1
3749,premium,446,41.65,1,20,6,1,37,0,432000,False,1,0,1
3750,premium,19592,2625.0,0,42,105,6,111,0,432000,False,1,1,0
3751,premium,712,193.54,1,37,8,56,42,0,432000,False,1,1,0
3752,premium,3306,206.39,1,30,6,0,37,0,432000,False,1,0,1
3753,premium,2353,883.32,1,32,23,2,42,0,432000,False,1,0,1
3754,premium,717,1722.5,1,63,25,0,90,0,432000,False,1,0,1
3755,premium,1124,224.86,0,33,11,15,8,0,432000,False,1,0,1
3756,fraudster_event,0,1588.44,1,22,3,0,2,1,435600,False,1,0,0
3757,spammer_limited,2829,240.0,1,114,6,1,65,0,432000,False,1,0,1
3758,premium,14741,127.53,1,52,4,5,37,0,432000,False,1,0,1
3759,fraudster_event,744,5332.73,1,34,9,0,6,1,432000,False,0,0,1
3760,fraudster_event,1505,7436.41,1,52,8,0,5,1,432000,False,1,0,1
3761,fraudster_event,1765,15970.08,1,17,19,0,5,1,432000,False,0,0,1
3762,fraudster_event,2161,2345.71,1,26,2,0,6,1,432000,False,1,0,1
3763,premium,818,65.16,1,14,3,52,61,0,432000,False,1,0,1
3764,premium,1164,2199.8,1,68,22,0,18,0,432000,False,1,0,1
3765,premium,1071,70.0,1,28,9,43,29,0,432000,False,1,1,0
3766,premium,0,810.78,0,40,1,17,1,0,432000,False,0,0,1
3767,premium,1088,20.0,1,58,2,0,15,0,432000,False,1,0,1
3768,premium,1708,80.78,0,63,3,0,36,0,432000,False,1,0,1
3769,fraudster_event,1758,2450.51,1,28,5,0,5,1,432000,False,1,0,1
3770,tos_warn,1262,118.04,1,57,1,0,25,0,432000,False,1,1,0
